prompt,gold
"A man is sitting on a roof. he

Choose the most appropriate continuation:
0. is using wrap to wrap a pair of skis.
1. is ripping level tiles off.
2. is holding a rubik's cube.
3. starts pulling up roofing on a roof.

Answer with only the number.
Answer:
",3
"A lady walks to a barbell. She bends down and grabs the pole. the lady

Choose the most appropriate continuation:
0. swings and lands in her arms.
1. pulls the barbell forward.
2. pulls a rope attached to the barbell.
3. stands and lifts the weight over her head.

Answer with only the number.
Answer:
",3
"Two women in a child are shown in a canoe while a man pulls the canoe while standing in the water, with other individuals visible in the background. the child and a different man

Choose the most appropriate continuation:
0. are then shown paddling down a river in a boat while a woman talks.
1. are driving the canoe, they go down the river flowing side to side.
2. sit in a canoe while the man paddles.
3. walking go down the rapids, while the man in his helicopter almost falls and goes out of canoehood.

Answer with only the number.
Answer:
",2
"A boy is running down a track. the boy

Choose the most appropriate continuation:
0. runs into a car.
1. gets in a mat.
2. lifts his body above the height of a pole.
3. stands on his hands and springs.

Answer with only the number.
Answer:
",2
"The boy lifts his body above the height of a pole. The boy lands on his back on to a red mat. the boy

Choose the most appropriate continuation:
0. turns his body around on the mat.
1. gets up from the mat.
2. continues to lift his body over the pole.
3. wiggles out of the mat.

Answer with only the number.
Answer:
",1
"The boy lands on his back on to a red mat. The boy gets up from the mat. the boy

Choose the most appropriate continuation:
0. starts doing spins.
1. celebrates by clapping and flexing both arms.
2. is dancing on the mat.
3. does jump jacks on his stick.

Answer with only the number.
Answer:
",1
"A man is standing in front of a camera. He starts playing a harmonica for the camera. he

Choose the most appropriate continuation:
0. begins to play the harmonica with his body while looking at the camera.
1. seems to be singing while playing the harmonica.
2. rocks back and forth to the music as he goes.
3. painted a fence in front of the camera.

Answer with only the number.
Answer:
",2
"A cartoon animation video is shown with people wandering around and rockets being shot. two men

Choose the most appropriate continuation:
0. fight robots of evil and ends with a to be continued.
1. are then shown in closeups shooting a shot put.
2. push a child in a speedboat in the water.
3. look in the cameraman's eye and smile.

Answer with only the number.
Answer:
",0
"A man is holding a pocket knife while sitting on some rocks in the wilderness. then he

Choose the most appropriate continuation:
0. opens a can of oil put oil on the knife, and puts oil on a knife and press it through a can filled with oil then cuts several pieces from the sandwiches.
1. takes a small stone from the flowing river and smashes it on another stone.
2. uses the knife to shave his leg.
3. sand the rocks and tops them by using strong pressure.

Answer with only the number.
Answer:
",1
"Then he takes a small stone from the flowing river and smashes it on another stone. He starts to crush the small stone to smaller pieces. he

Choose the most appropriate continuation:
0. cuts the center stone in half and blow it on to make it bigger.
1. grind it hard to make the pieces smaller.
2. eventually brings it back into view and adds it to the smaller ones to make a small triangular shaped piece.
3. starts to party with them and throw the pieces by hand while they celebrate.

Answer with only the number.
Answer:
",1
"Then he takes a piece of bark and rubs the powered stone pieces onto it. The stone particles stick to the wet piece of wood. he

Choose the most appropriate continuation:
0. uses a small brush to polish one of the stone pieces.
1. then uses a strip of sealing tape to seal the board and then smooths the bottom of the board.
2. walks towards the camera.
3. then takes the knife and sharpens it against the wood piece.

Answer with only the number.
Answer:
",3
"The stone particles stick to the wet piece of wood. He then takes the knife and sharpens it against the wood piece. he

Choose the most appropriate continuation:
0. then cuts off the excess hair of the wood.
1. scrapes the wood with a broom in the cutting tool used in sharpening the instrument.
2. writes on the board again.
3. then notices a little black and green poisonous frog sitting next to him.

Answer with only the number.
Answer:
",3
"He then takes the knife and sharpens it against the wood piece. He then notices a little black and green poisonous frog sitting next to him. the frog

Choose the most appropriate continuation:
0. eventually gets to get up and marches out of the room waving its body about.
1. then starts to get up from the chair and begins walking towards the camera.
2. then escapes and jumps away.
3. is acting crazy and attacking him while he is cooking.

Answer with only the number.
Answer:
",2
"He then notices a little black and green poisonous frog sitting next to him. The frog then escapes and jumps away. he

Choose the most appropriate continuation:
0. sits and hugs another man and also adjusts his camera.
1. then sits there staring at his text machine as if he has actually been given a gift from god.
2. explains how the frog secretes a poisonous fluid that can be extremely harmful.
3. takes the frog on his hand and tickles the back of it.

Answer with only the number.
Answer:
",2
"A person is playing bagpipes out in a park. A man and two boys watching from a far. the camera

Choose the most appropriate continuation:
0. shoots areas all around the park while the bagpipes play.
1. is covered to the boy that is playing there.
2. then goes black and we see a black opening scene.
3. watching the boy and boy as they play a game of drums.

Answer with only the number.
Answer:
",0
"Two people are seen passing a ball back and fourth in a pool and leads into one speaking to the camera. the man

Choose the most appropriate continuation:
0. dips the ball and walks back with the boy and pours detergent into a cup again.
1. then throws the ball into the pool and begins running around with a sail in his hand while a group of men watch.
2. then takes a drink having a conversation with another man and another man leads into him throwing balls in the water and laughing to the camera.
3. demonstrates how to properly throw the ball with his hands while still speaking to the camera.

Answer with only the number.
Answer:
",3
"A woman is sitting at a table in a fast food restaurant while eating. She continually speaks to nobody as she eats. she

Choose the most appropriate continuation:
0. is then seen sitting alone as she eats a cold brown ice cream.
1. pauses in the process of eating to enjoy her food.
2. stands up and grabs her purse, continuing to talk and laugh as she leaves.
3. picks up another chocolate bar and chews it as she talks.

Answer with only the number.
Answer:
",2
"A group of cheerleaders run onto a stage before a cheering audience. they

Choose the most appropriate continuation:
0. get into formation, then begin dancing and flipping as male cheerleaders join them.
1. perform a cheer routine before the girls, along with makeup artists, spread out and pose.
2. take turns jumping on each other like they are performing karate.
3. are then shown performing the type of cheerleading dance, using batons and pole vaults.

Answer with only the number.
Answer:
",0
"A group of cheerleaders run onto a stage before a cheering audience. They get into formation, then begin dancing and flipping as male cheerleaders join them. they all

Choose the most appropriate continuation:
0. dance and flip on stage while hanging their hats on the sides.
1. continue dancing and flipping, doing hand springs.
2. dance together with flip up their sleeves.
3. perform their routines as the studio rashes to a halt with cheerleaders in the audience.

Answer with only the number.
Answer:
",1
"They get into formation, then begin dancing and flipping as male cheerleaders join them. They all continue dancing and flipping, doing hand springs. when they

Choose the most appropriate continuation:
0. are done, they shake hands and walk away, but cheers are heard all around as they're finished.
1. are finished, they jump up and down happily and walk off the stage, exhausted.
2. are done, a male cheerleader is crowned and an instant replay is shown.
3. come down from their workout, they all stop to bow and applaud, then they continue dancing.

Answer with only the number.
Answer:
",1
"A woman is reading a newspaper nearby while he speaks to her and shows her something in his hand. The man sharpens his knives using an electric tool. he

Choose the most appropriate continuation:
0. sharpens and cuts something on a knife board using an electric tool.
1. then continues cutting his onion.
2. travels with his knife under the table and uses it also in his shoe.
3. then shows her a spare knife that he has also used on a knife sharpener and drills into a side of the table.

Answer with only the number.
Answer:
",1
"A man is outside of a building. He is using commercial lawn mowing equipment. he

Choose the most appropriate continuation:
0. walks back and forth as he mows the grass.
1. is animated as he does the task.
2. relaxes, making sure his lawn is pristine.
3. runs from one side of the building to the other.

Answer with only the number.
Answer:
",0
