prompt,gold,split
do iran and afghanistan speak the same language,True,train
do good samaritan laws protect those who help at an accident,True,train
is windows movie maker part of windows essentials,True,train
is confectionary sugar the same as powdered sugar,True,train
is elder scrolls online the same as skyrim,False,train
can you use oyster card at epsom station,False,train
will there be a season 4 of da vinci's demons,False,train
is the federal court the same as the supreme court,False,train
did abraham lincoln write the letter in saving private ryan,True,train
is batman and robin a sequel to batman forever,True,train
is a wolverine the same as a badger,False,train
will there be a green lantern 2 movie,False,train
does the icc has jurisdiction in the united states,False,train
calcium carbide cac2 is the raw material for the production of acetylene,True,train
is there a now you see me 3 coming out,True,train
does a penalty shoot out goal count towards the golden boot,False,train
will there be a new season of cutthroat kitchen,False,train
is jack sikma in the hall of fame,True,train
can elves and humans mate lord of the rings,True,train
the boy in the plastic bubble based on true story,True,train
science begins with the premise that knowledge should first be acquired through observation,True,train
is tim brown in the hall of fame,True,train
can you drink alcohol in public in denmark,True,train
is jersey currency legal tender in the uk,False,train
have the milwaukee bucks ever won a championship,True,train
does the world cup final go to penalties,True,train
is kingdom manga based on a true story,True,train
is croatia part of the european economic area,True,train
can u marry a dead person in france,True,train
is saline and sodium chloride the same thing,False,train
is there a treatment for the bubonic plague,True,train
does buffy's mom know she's a slayer,True,train
was the leaning tower of pisa built leaning,False,train
is the movie fool's gold a true story,False,train
has any nfl team played the superbowl at home,False,train
does each australian state have its own constitution,True,train
can you have a right and left bundle branch block,True,train
do you always have to say check in chess,False,train
is an australian shepherd the same as an australian cattle dog,False,train
is tomato puree and tomato sauce the same thing,False,train
is the blues brothers based on a true story,False,train
is newcastle upon tyne the same as newcastle,True,train
is post office and royal mail the same,False,train
has any supreme court nominee not been confirmed,True,train
is thanksgiving always the last thursday of the month,True,train
is lord of the rings after the hobbit,True,train
is the fallen movie going to have a sequel,False,train
does anyone on instagram have 1 billion followers,False,train
in the phantom menace is padme the queen,True,train
is lord of the rings considered an epic,True,train
does the euro sign go before the number,True,train
can stainless steel be used on induction cooktop,True,train
is job termination the same as being fired,True,train
does age have any influence on attentional ability or inattentional blindness,True,train
is sanskrit the first language of the world,False,train
is a jack russell considered a small breed,True,train
does air force one travel with fighter escort,False,train
is it legal to own an ar15 in california,False,train
is the national anthem and star spangled banner the same,True,train
is there an international airport in naples italy,True,train
can you buy cadburys creme eggs all year round,False,train
do homologous chromosomes carry information for the same traits,True,train
has michigan ever won a national championship in football,True,train
you can tell a lot about a person by how they treat their waiter,True,train
are there any crocodiles native to north america,True,train
does lex luthor know who superman is in smallville,True,train
do you have to have a college degree to take the bar exam,True,train
will there be a season 2 of marvel's iron fist,True,train
is 844 a toll free number in canada,True,train
does any other country have daylight savings time,True,train
has anyone ever pitched back to back no hitters,True,train
is there a black bike week in myrtle beach,True,train
are static shock and black lightning the same person,False,train
is there such a thing as unbreakable glass,True,train
can liquid latex be used as an adhesive,True,train
is it illegal to carry a pistol in your car in texas,False,train
is it legal to carry a sgian dubh,True,train
several cranial nerves innervate structures of the tongue,False,train
is porto rico a part of the united states,True,train
is there sales tax in the state of washington,True,train
has anyone scored 6 goals in one game,True,train
can puppies see right when their eyes open,True,train
is the sears tower the same as the hancock building,False,train
is tokyo ghoul re related to tokyo ghoul,True,train
do texas state troopers have to wear hats,True,train
is vaping illegal if you are under 18,True,train
is wheat flour and white flour the same thing,False,train
do they find the body in stand by me,True,train
did the english win the hundred years war,False,train
is ferguson jenkins in the hall of fame,True,train
are family dollar and dollar general the same company,False,train
is station 19 a grey's anatomy spin off,True,train
are tomatoes a member of the nightshade family,True,train
